rank,symbol,company,price,change,volume,market_cap,pe,sector,classification,score,market_session,confirmation_reference,failure_reference,reasons
36,PPP,Pakistan Paper Products Limited,144.15,-0.2905167047105084,60533.0,1153200000.0,6.953690303907381,"Paper, Board & Packaging",Reversal required,37.5,2026-09-18,154.5,139.51,Price trend or momentum has not turned upward
37,SPEL,SPEL Limited,42.48,2.583916928278196,426559.0,8484785959.679999,7.091819699499164,"Paper, Board & Packaging",Reversal required,37.5,2026-09-18,43.99,40.51,Price trend or momentum has not turned upward
38,PTL,Panther Tyres Ltd.,50.41,2.230784830663146,140146.0,8468879999.999999,6.512919896640827,Automobile Parts & Accessories,Reversal required,37.5,2026-09-18,50.8,47.02,Price trend or momentum has not turned upward
39,GCWL,Ghani Chemworld Limited,14.52,3.6402569593147804,774689.0,3632090154.0,2.049978822532825,Chemical,Reversal required,37.5,2026-09-18,14.6,13.17,Price trend or momentum has not turned upward
40,GLAXO,GlaxoSmithKline Pakistan Limited,320.99,2.0279075681001846,239927.0,102224811565.22,9.819210767818904,Pharmaceuticals,Reversal required,35.0,2026-09-18,322.9,299.8,Price trend or momentum has not turned upward
41,FABL,Faysal Bank Limited,94.2,1.3012151844284503,384232.0,142967012749.2,6.582809224318659,Commercial Banks,Confirmation required,35.0,2026-09-18,94.75,90.0,Moving averages not aligned upward; Momentum not confirmed; Volume/closing-pressure confirmation missing; Stock-specific news/event review still needed
42,MEHT,Mehmood Textile Mills Limited,139.23,0.9644670050761306,48825.0,4176899999.9999995,3.6823591642422633,Textile Composite,Reversal required,35.0,2026-09-18,152.0,133.2,Price trend or momentum has not turned upward
43,CLOV,Clover Pakistan Limited,6.42,0.7849293563579218,363221.0,2499230500.8,2.084415584415585,Food & Personal Care Products,Reversal required,35.0,2026-09-18,6.54,6.17,Price trend or momentum has not turned upward
44,FCCL,Fauji Cement Company Limited,54.35,2.3733283104162783,6779754.0,133312246407.0,8.234848484848486,Cement,Reversal required,32.5,2026-09-18,54.8,51.25,Price trend or momentum has not turned upward
45,GWLC,Gharibwal Cement Limited,50.96,2.26771021473009,190719.0,20397961001.6,8.696245733788396,Cement,Reversal required,32.5,2026-09-18,51.8,48.01,Price trend or momentum has not turned upward
46,SEARL,The Searle Company Limited,79.69,1.5676777976038725,2349627.0,46875139437.1,17.514285714285712,Pharmaceuticals,Reversal required,27.5,2026-09-18,81.15,76.62,Price trend or momentum has not turned upward
47,AGP,AGP Limited,153.36,1.6302186878727642,584914.0,42940800000.00001,20.020887728459535,Pharmaceuticals,Reversal required,27.5,2026-09-18,155.75,150.0,Price trend or momentum has not turned upward
48,MUGHAL,Mughal Iron & Steel Industries Limited,68.5,0.7797557746064498,904101.0,22990924410.5,10.148148148148149,Engineering,Reversal required,27.5,2026-09-18,73.24,67.5,Price trend or momentum has not turned upward
49,TOMCL,The Organic Meat Company Limited,32.62,2.2570532915360486,1191913.0,6404621695.08,17.259259259259256,Food & Personal Care Products,Reversal required,27.5,2026-09-18,33.0,31.26,Price trend or momentum has not turned upward
50,TPLRF1,TPL REIT Fund I,9.34,0.5382131324004336,4473739.0,17138900000.0,0.0,Real Estate Investment Trust,Reversal required,27.5,2026-09-18,9.84,9.15,Price trend or momentum has not turned upward
