symbol,t,bid_price,ask_price,bid_volume,ask_volume,spread,last_price,current,open,prev_close,volume,day_low,day_high
NRL,11:15:03,499.6,499.95,2020,2000,0.35,499.95,499.95,518,517.58,1644790,493,518
NRL,11:15:08,499.6,499.95,2020,2000,0.35,499.95,499.95,518,517.58,1644790,493,518
NRL,11:15:13,499.6,499.95,2020,2000,0.35,499.95,499.95,518,517.58,1644790,493,518
NRL,11:15:18,499.6,499.95,2020,2000,0.35,499.95,499.95,518,517.58,1644790,493,518
NRL,11:15:23,499.6,499.95,2020,2000,0.35,499.95,499.95,518,517.58,1644790,493,518
NRL,11:15:28,499.6,499.95,2020,2000,0.35,499.95,499.95,518,517.58,1644790,493,518
NRL,11:15:33,499,499.89,450,42,0.89,499,499,518,517.58,1648359,493,518
NRL,11:15:38,499,499.89,450,42,0.89,499,499,518,517.58,1648359,493,518
NRL,11:15:43,499,499.89,450,42,0.89,499,499,518,517.58,1648359,493,518
NRL,11:15:48,499,499.89,450,42,0.89,499,499,518,517.58,1648359,493,518
NRL,11:15:53,499,499.89,450,42,0.89,499,499,518,517.58,1648359,493,518
NRL,11:15:58,499,499.89,450,42,0.89,499,499,518,517.58,1648359,493,518
NRL,11:16:03,499,499.89,450,42,0.89,499,499,518,517.58,1648359,493,518
NRL,11:16:08,499,499.89,450,42,0.89,499,499,518,517.58,1648359,493,518
NRL,11:16:13,499,499.89,450,42,0.89,499,499,518,517.58,1648359,493,518
NRL,11:16:18,499.5,499.88,50,100,0.38,499.89,499.89,518,517.58,1648520,493,518
NRL,11:16:23,499.5,499.88,50,100,0.38,499.89,499.89,518,517.58,1648520,493,518
NRL,11:16:28,499.33,499.5,500,50,0.17,499.5,499.5,518,517.58,1649070,493,518
NRL,11:16:33,499.33,499.5,500,50,0.17,499.5,499.5,518,517.58,1649070,493,518
NRL,11:16:38,499.33,499.5,500,50,0.17,499.5,499.5,518,517.58,1649070,493,518
NRL,11:16:43,499.33,499.5,500,50,0.17,499.5,499.5,518,517.58,1649070,493,518
NRL,11:16:48,499.33,499.5,500,50,0.17,499.5,499.5,518,517.58,1649070,493,518
NRL,11:16:53,499.33,499.5,500,50,0.17,499.5,499.5,518,517.58,1649070,493,518
NRL,11:16:58,499.33,499.5,500,50,0.17,499.5,499.5,518,517.58,1649070,493,518
NRL,11:17:03,499.33,499.5,500,50,0.17,499.5,499.5,518,517.58,1649070,493,518
NRL,11:17:08,499.33,499.5,500,50,0.17,499.5,499.5,518,517.58,1649070,493,518
NRL,11:17:13,499.33,499.5,500,50,0.17,499.5,499.5,518,517.58,1649070,493,518
NRL,11:17:18,499.33,499.5,500,50,0.17,499.5,499.5,518,517.58,1649070,493,518
NRL,11:17:23,499.33,499.5,500,50,0.17,499.5,499.5,518,517.58,1649070,493,518
NRL,11:17:28,499.33,499.5,500,50,0.17,499.5,499.5,518,517.58,1649070,493,518
NRL,11:17:33,499.33,499.5,500,50,0.17,499.5,499.5,518,517.58,1649070,493,518
NRL,11:17:38,499.33,499.5,500,50,0.17,499.5,499.5,518,517.58,1649070,493,518
NRL,11:17:43,499.33,499.5,500,50,0.17,499.5,499.5,518,517.58,1649070,493,518
NRL,11:17:48,499.33,499.5,500,50,0.17,499.5,499.5,518,517.58,1649070,493,518
NRL,11:18:23,499.33,499.5,500,50,0.17,499.5,499.5,518,517.58,1649070,493,518
NRL,11:19:03,499.33,499.5,500,50,0.17,499.5,499.5,518,517.58,1649070,493,518
NRL,11:19:08,499,499.5,208,1229,0.5,499.5,499.5,518,517.58,1654070,493,518
